"covariateId","covariateName","analysisId","conceptId","valueAsConceptId","collisions","covariateValue"
15003,"age group:  75 -  79",3,0,NA,NA,0.453307495222587
21601744410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: CALCIUM CHANNEL BLOCKERS",410,21601744,NA,NA,0.409406679467442
8003,"age group:  40 -  44",3,0,NA,NA,-0.377152570363207
6003,"age group:  30 -  34",3,0,NA,NA,-0.31834603774724
16003,"age group:  80 -  84",3,0,NA,NA,0.29892275463677
21601853412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: LIPID MODIFYING AGENTS",412,21601853,NA,NA,0.27915624649834
21602861412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: Combinations of penicillins, incl. beta-lactamase inhibitors",412,21602861,NA,NA,0.269829875912753
21604685412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: PSYCHOANALEPTICS",412,21604685,NA,NA,-0.247568713221258
444070210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Tachycardia",210,444070,NA,NA,0.245457802514169
433736210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Obesity",210,433736,NA,NA,0.235206568351081
21601119410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: VITAMIN B12 AND FOLIC ACID",410,21601119,NA,NA,-0.226223122667989
80593210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Urinary complication",210,80593,NA,NA,0.221294255136556
4178680210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Degenerative disorder of musculoskeletal system",210,4178680,NA,NA,0.221052302415132
21602566410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: PROGESTOGENS AND ESTROGENS IN COMBINATION",410,21602566,NA,NA,-0.214669904153818
4099350210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Infectious disease of genitourinary system",210,4099350,NA,NA,-0.185686764824526
434005210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Morbid obesity",210,434005,NA,NA,0.18292089835852
4329041210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Pain",210,4329041,NA,NA,-0.176756327013595
21602627410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: UROLOGICALS",410,21602627,NA,NA,0.170739902572039
320128210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Essential hypertension",210,320128,NA,NA,0.168453192937362
197032210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Hyperplasia of prostate",210,197032,NA,NA,0.159419503555085
21602144410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Corticosteroids, weak, combinations with antiseptics",410,21602144,NA,NA,-0.158597001620323
9003,"age group:  45 -  49",3,0,NA,NA,-0.156771714368125
435227210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Nutritional deficiency disorder",210,435227,NA,NA,-0.15570231413738
441542210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Anxiety",210,441542,NA,NA,-0.154419812082373
21600765412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: Combinations of oral blood glucose lowering drugs",412,21600765,NA,NA,0.152425338757093
17003,"age group:  85 -  89",3,0,NA,NA,0.151448339314909
8532001,"gender = FEMALE",1,8532,NA,NA,-0.145585762426577
197684210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Dysuria",210,197684,NA,NA,-0.144674482682566
21601136412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS",412,21601136,NA,NA,0.140967201213141
21602341410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Other dermatologicals",410,21602341,NA,NA,0.139326466941457
21602488410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Progestogens and estrogens, sequential preparations",410,21602488,NA,NA,-0.138706260789149
21604182410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: ANESTHETICS, GENERAL",410,21604182,NA,NA,0.1336373686932
21601167410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: IRRIGATING SOLUTIONS",410,21601167,NA,NA,-0.122531603798947
77079210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Spinal stenosis",210,77079,NA,NA,0.116229270721124
4179141210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Lesion of joint",210,4179141,NA,NA,-0.11028092793622
4154801210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Observation of sensation",210,4154801,NA,NA,0.10865861017963
21602751412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: THYROID THERAPY",412,21602751,NA,NA,-0.105849920282278
1123698410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Beta blocking agents, other combinations",410,1123698,NA,NA,-0.0994380905544248
21602968412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",412,21602968,NA,NA,0.0944323775680257
21602927410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Other cephalosporins and penems",410,21602927,NA,NA,-0.0928327485399511
4271450210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Acute infectious disease",210,4271450,NA,NA,-0.0905468986356774
1545958412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: atorvastatin",412,1545958,NA,NA,0.0861391775061922
4089963210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Urinary outflow obstruction",210,4089963,NA,NA,0.0858835723903074
201826210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Type 2 diabetes mellitus",210,201826,NA,NA,0.0751692492988021
4153882210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Malignant neoplasm of soft tissue",210,4153882,NA,NA,0.0711738558711233
432867210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Hyperlipidemia",210,432867,NA,NA,0.0702388202704788
21604180410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: NERVOUS SYSTEM",410,21604180,NA,NA,-0.0696697383273672
21602796412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: ANTIBACTERIALS FOR SYSTEMIC USE",412,21602796,NA,NA,0.0671726018517571
321588210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Heart disease",210,321588,NA,NA,0.0665209153280376
435119210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Late effect of injury",210,435119,NA,NA,-0.0570236736086994
37219953210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Increased upper airway secretion",210,37219953,NA,NA,-0.0539777217394075
21601855412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: HMG CoA reductase inhibitors",412,21601855,NA,NA,0.0534246107942653
21604304412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: Salicylic acid and derivatives",412,21604304,NA,NA,0.0418240522929316
21601801412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: ACE INHIBITORS, COMBINATIONS",412,21601801,NA,NA,0.0417279797762533
21605180410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: OTHER OTOLOGICALS",410,21605180,NA,NA,-0.0341070013094857
201820210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Diabetes mellitus",210,201820,NA,NA,0.0337264962113063
436096210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Chronic pain",210,436096,NA,NA,0.0322162248315031
21602728410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Glucocorticoids",410,21602728,NA,NA,0.0321187605423377
442588210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Obstructive sleep apnea syndrome",210,442588,NA,NA,0.030437311677512
135777210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Neoplasm of uncertain behavior of skin",210,135777,NA,NA,0.0299701574818799
21602628410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: UROLOGICALS",410,21602628,NA,NA,0.0299136476849863
21600749412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: Sulfonylureas",412,21600749,NA,NA,0.0280280230919132
10003,"age group:  50 -  54",3,0,NA,NA,-0.0271550975227962
21600601410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: INTESTINAL ANTIINFECTIVES",410,21600601,NA,NA,-0.0255281537714645
21601606410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE",410,21601606,NA,NA,0.02441701315271
1174888410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: hydrocodone",410,1174888,NA,NA,-0.0224528155736043
4181063210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Inflammation of specific body organs",210,4181063,NA,NA,0.0212927782656081
313459210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Sleep apnea",210,313459,NA,NA,0.0197139193530605
198803210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Benign prostatic hyperplasia",210,198803,NA,NA,0.0192910289164829
198124210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Kidney disease",210,198124,NA,NA,0.0181772500823614
440921212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Traumatic injury",212,440921,NA,NA,-0.0154404276620397
21601290410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Haemophilus influenzae B vaccines",410,21601290,NA,NA,0.00944577166443678
4197065210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Respiratory obstruction",210,4197065,NA,NA,0.00725842192488637
321689210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Apnea",210,321689,NA,NA,0.00655946432085551
442077210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Anxiety disorder",210,442077,NA,NA,-0.00640021415910786
4318939210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Lower urinary tract obstructive syndrome",210,4318939,NA,NA,0.00616176005157801
21602567410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Progestogens and estrogens, fixed combinations",410,21602567,NA,NA,-0.00185580494235083
21601822412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",412,21601822,NA,NA,0.00123592582659139
21600602410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Antibiotics",410,21600602,NA,NA,-1.87984740031704e-06
37283026210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Throat secretion increased",210,37283026,NA,NA,-5.0125043248975e-07
43531624212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Severe recurrent major depression",212,43531624,NA,NA,0
43021779212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Hearing loss of left ear",212,43021779,NA,NA,0
42536547212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Ischemia of kidney",212,42536547,NA,NA,0
42537706212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Autonomic neuropathy due to metabolic disease",212,42537706,NA,NA,0
43530818212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Superficial incisional surgical site infection",212,43530818,NA,NA,0
43531622212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Ataxia as sequela of cerebrovascular disease",212,43531622,NA,NA,0
43021258212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Infection associated with implant",212,43021258,NA,NA,0
42536525212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Allergic disorder of respiratory tract",212,42536525,NA,NA,0
43021778212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Hearing loss of right ear",212,43021778,NA,NA,0
43021868212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Aneurysm of peripheral artery",212,43021868,NA,NA,0
43531638212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Bilateral lower limb paralytic syndrome",212,43531638,NA,NA,0
43021252212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Mechanical complication of implant",212,43021252,NA,NA,0
42872722212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Severe major depression",212,42872722,NA,NA,0
37173823212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Inflammation of joint of left shoulder region",212,37173823,NA,NA,0
37170728212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Pressure injury of sacral region of back stage II",212,37170728,NA,NA,0
36255846212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Post procedural bleeding",212,36255846,NA,NA,0
37159955212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Ulcer of buttock",212,37159955,NA,NA,0
37160749212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Pressure injury stage III",212,37160749,NA,NA,0
40482301212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Residual cognitive deficit as late effect of cerebrovascular accident",212,40482301,NA,NA,0
40480435212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Spastic hemiplegia of nondominant side",212,40480435,NA,NA,0
37162002212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Steatosis",212,37162002,NA,NA,0
37165085212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Retinal vein occlusion",212,37165085,NA,NA,0
37165833212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Malignant lymphoma of lymph nodes of head and neck",212,37165833,NA,NA,0
40480943212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Lateral cystocele",212,40480943,NA,NA,0
37155703212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Pressure injury of hip stage IV",212,37155703,NA,NA,0
35615055212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Saddle embolus of pulmonary artery with acute cor pulmonale",212,35615055,NA,NA,0
37312531212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Gangrene of limb due to atherosclerosis of artery of limb",212,37312531,NA,NA,0
37016768212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Autonomic neuropathy due to type 2 diabetes mellitus",212,37016768,NA,NA,0
36684646212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Senile ectropion of right lower eyelid",212,36684646,NA,NA,0
36712821212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Postprocedural infection",212,36712821,NA,NA,0
40481043212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Acute on chronic diastolic heart failure",212,40481043,NA,NA,0
36718359212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Head discomfort",212,36718359,NA,NA,0
36717267212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Ectasia of thoracic aorta",212,36717267,NA,NA,0
37173209212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Pressure injury of left lower limb",212,37173209,NA,NA,0
40483549212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Infection of bone of ankle and/or foot",212,40483549,NA,NA,0
37170713212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Pressure injury of left buttock",212,37170713,NA,NA,0
37312519212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Ulcer of calf due to atherosclerosis of artery of lower limb",212,37312519,NA,NA,0
37168130212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Multiple lesions of retina without detachment",212,37168130,NA,NA,0
40480603212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Acute systolic heart failure",212,40480603,NA,NA,0
37165865212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Malignant lymphoma of lymph nodes of upper limb",212,37165865,NA,NA,0
36776807212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Wakefulness",212,36776807,NA,NA,0
36712805212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Pain at rest of left lower limb due to atherosclerosis",212,36712805,NA,NA,0
36684814212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Non-Hodgkin's lymphoma of lymph nodes of multiple sites",212,36684814,NA,NA,0
37160526212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Lesion of sclera",212,37160526,NA,NA,0
40323559212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Dislocation of knee joint",212,40323559,NA,NA,0
37209294212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Mass of left ovary",212,37209294,NA,NA,0
37165200212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Diabetic skin disorder",212,37165200,NA,NA,0
40479573212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Stimulant abuse",212,40479573,NA,NA,0
37168133212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Bilateral multiple lesions of retina without detachment",212,37168133,NA,NA,0
37168308212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Bilateral lesion of retina of eyes",212,37168308,NA,NA,0
37170790212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Pressure injury of left heel",212,37170790,NA,NA,0
36715916212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Internal hemorrhoids grade I",212,36715916,NA,NA,0
37164958212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Right lower limb atherosclerosis",212,37164958,NA,NA,0
37168850212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Colorectal cancer",212,37168850,NA,NA,0
36716891212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Axial spondyloarthritis",212,36716891,NA,NA,0
36712845212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Isolated proteinuria",212,36712845,NA,NA,0
36712806212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Intermittent claudication of right lower limb co-occurrent and due to atherosclerosis",212,36712806,NA,NA,0
37311673212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Hyperglycemia due to diabetes mellitus",212,37311673,NA,NA,0
37311784212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Exogenous dermatitis",212,37311784,NA,NA,0
37396726212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Cognitive communication disorder",212,37396726,NA,NA,0
37017896212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Abdominal organomegaly",212,37017896,NA,NA,0
35626764212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Clinically significant macular edema due to diabetes mellitus",212,35626764,NA,NA,0
36717006212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Intermittent claudication of bilateral lower limbs co-occurrent and due to atherosclerosis",212,36717006,NA,NA,0
37309626212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Myocardial infarction due to demand ischemia",212,37309626,NA,NA,0
36255850212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Post procedural hemorrhage",212,36255850,NA,NA,0
37165864212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Hodgkin disease of lymph nodes of upper limb",212,37165864,NA,NA,0
40491478212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Abnormality of aortic valve",212,40491478,NA,NA,0
40491455212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Abnormality of abdominal aorta",212,40491455,NA,NA,0
37312612212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Spondylosis with radiculopathy",212,37312612,NA,NA,0
45757698212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Inflammatory lesion of eyelid",212,45757698,NA,NA,0
46270470212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Primary chronic gout without tophus of ankle and/or foot",212,46270470,NA,NA,0
46269874212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Complication due to Crohn's disease of large intestine",212,46269874,NA,NA,0
45766940212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Closed fracture of shoulder",212,45766940,NA,NA,0
44782743212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Acute deep venous thrombosis of popliteal vein",212,44782743,NA,NA,0
46273161212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Bursitis of lower limb",212,46273161,NA,NA,0
46269695212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Lesion of skin of foot",212,46269695,NA,NA,0
