"covariateId","covariateName","analysisId","conceptId","valueAsConceptId","collisions","covariateValue"
3003,"age group:  15 -  19",3,0,NA,NA,-4.23265981974319
4003,"age group:  20 -  24",3,0,NA,NA,-3.56741209444267
5003,"age group:  25 -  29",3,0,NA,NA,-2.81145329486378
6003,"age group:  30 -  34",3,0,NA,NA,-2.09390353812535
7003,"age group:  35 -  39",3,0,NA,NA,-1.93916676150433
8003,"age group:  40 -  44",3,0,NA,NA,-1.49991873582648
9003,"age group:  45 -  49",3,0,NA,NA,-1.40774696498323
18003,"age group:  90 -  94",3,0,NA,NA,1.0477303935229
10003,"age group:  50 -  54",3,0,NA,NA,-1.00367386846115
11003,"age group:  55 -  59",3,0,NA,NA,-0.790512757340557
12003,"age group:  60 -  64",3,0,NA,NA,-0.510494596993562
8507001,"gender = MALE",1,8507,NA,NA,0.484366136379549
1701699,"Cohort_covariate during day -9999 through -1 days relative to index: history of diabetes ",699,-1,NA,NA,0.458739273166575
2001699,"Cohort_covariate during day -9999 through -1 days relative to index: history of hypertension ",699,-1,NA,NA,0.38685895787039
16003,"age group:  80 -  84",3,0,NA,NA,0.353756012061696
2101699,"Cohort_covariate during day -9999 through -1 days relative to index: history of kidney disease ",699,-1,NA,NA,0.252536226984186
1601699,"Cohort_covariate during day -9999 through -1 days relative to index: history of COPD ",699,-1,NA,NA,0.210649853747439
15003,"age group:  75 -  79",3,0,NA,NA,0.199275101235256
13003,"age group:  65 -  69",3,0,NA,NA,-0.154722537526492
17003,"age group:  85 -  89",3,0,NA,NA,0.137907753266431
1901699,"Cohort_covariate during day -9999 through -1 days relative to index: history of hyperlipidemia ",699,-1,NA,NA,0.0328625987384913
1501699,"Cohort_covariate during day -9999 through -1 days relative to index: history of cancer ",699,-1,NA,NA,-0.00599290709414251
1801699,"Cohort_covariate during day -9999 through -1 days relative to index: history of heart disease ",699,-1,NA,NA,0.00248918395622392
