"covariateId","covariateName","analysisId","conceptId","valueAsConceptId","collisions","covariateValue"
3003,"age group:  15 -  19",3,0,NA,NA,-4.96151913463753
6003,"age group:  30 -  34",3,0,NA,NA,-4.47591926281195
5003,"age group:  25 -  29",3,0,NA,NA,-4.36649242036375
4003,"age group:  20 -  24",3,0,NA,NA,-3.50035246019021
18003,"age group:  90 -  94",3,0,NA,NA,3.33445289485642
7003,"age group:  35 -  39",3,0,NA,NA,-2.89396423450135
8003,"age group:  40 -  44",3,0,NA,NA,-2.80654189485156
9003,"age group:  45 -  49",3,0,NA,NA,-2.64077209987119
10003,"age group:  50 -  54",3,0,NA,NA,-2.50901929598466
11003,"age group:  55 -  59",3,0,NA,NA,-1.7388229759167
12003,"age group:  60 -  64",3,0,NA,NA,-1.10916520536511
16003,"age group:  80 -  84",3,0,NA,NA,0.937396588366603
17003,"age group:  85 -  89",3,0,NA,NA,0.826454981929937
8507001,"gender = MALE",1,8507,NA,NA,0.455131984711353
1701699,"Cohort_covariate during day -9999 through -1 days relative to index: history of diabetes ",699,-1,NA,NA,0.43335868703802
15003,"age group:  75 -  79",3,0,NA,NA,0.401095458094806
1801699,"Cohort_covariate during day -9999 through -1 days relative to index: history of heart disease ",699,-1,NA,NA,0.343023989650388
1901699,"Cohort_covariate during day -9999 through -1 days relative to index: history of hyperlipidemia ",699,-1,NA,NA,-0.296699425878563
1601699,"Cohort_covariate during day -9999 through -1 days relative to index: history of COPD ",699,-1,NA,NA,0.295178222134738
2001699,"Cohort_covariate during day -9999 through -1 days relative to index: history of hypertension ",699,-1,NA,NA,0.259752207726633
13003,"age group:  65 -  69",3,0,NA,NA,-0.219475800176739
2101699,"Cohort_covariate during day -9999 through -1 days relative to index: history of kidney disease ",699,-1,NA,NA,0.213804214333147
1501699,"Cohort_covariate during day -9999 through -1 days relative to index: history of cancer ",699,-1,NA,NA,-0.058301235198241
