"covariateId","covariateName","analysisId","conceptId","valueAsConceptId","collisions","covariateValue"
18003,"age group:  90 -  94",3,0,NA,NA,4.23768248437394
3003,"age group:  15 -  19",3,0,NA,NA,-2.86748751013597
5003,"age group:  25 -  29",3,0,NA,NA,-2.78661101479828
7003,"age group:  35 -  39",3,0,NA,NA,-2.56840732037622
4003,"age group:  20 -  24",3,0,NA,NA,-2.53781845517148
8003,"age group:  40 -  44",3,0,NA,NA,-2.15375553537403
6003,"age group:  30 -  34",3,0,NA,NA,-2.04970365722502
9003,"age group:  45 -  49",3,0,NA,NA,-1.53481611127324
17003,"age group:  85 -  89",3,0,NA,NA,1.2848138705182
10003,"age group:  50 -  54",3,0,NA,NA,-1.26552294030061
16003,"age group:  80 -  84",3,0,NA,NA,1.00103056776848
15003,"age group:  75 -  79",3,0,NA,NA,0.718428861235059
11003,"age group:  55 -  59",3,0,NA,NA,-0.69959548807937
1601699,"Cohort_covariate during day -9999 through -1 days relative to index:  history of COPD  ",699,-1,NA,NA,0.68051655768812
1901699,"Cohort_covariate during day -9999 through -1 days relative to index:  history of hyperlipidemia  ",699,-1,NA,NA,-0.643150338075036
1801699,"Cohort_covariate during day -9999 through -1 days relative to index:  history of heart disease  ",699,-1,NA,NA,0.511398069610648
2101699,"Cohort_covariate during day -9999 through -1 days relative to index:  history of kidney disease  ",699,-1,NA,NA,0.415154087724824
12003,"age group:  60 -  64",3,0,NA,NA,-0.404287926343514
1701699,"Cohort_covariate during day -9999 through -1 days relative to index:  history of diabetes  ",699,-1,NA,NA,0.371319604669975
8507001,"gender = MALE",1,8507,NA,NA,0.353560319596826
14003,"age group:  70 -  74",3,0,NA,NA,0.297930269755834
1501699,"Cohort_covariate during day -9999 through -1 days relative to index:  history of cancer  ",699,-1,NA,NA,0.129982887707443
2001699,"Cohort_covariate during day -9999 through -1 days relative to index:  history of hypertension  ",699,-1,NA,NA,0.128432709944886
