"covariateId","covariateName","analysisId","conceptId","valueAsConceptId","collisions","covariateValue"
4003,"age group:  20 -  24",3,0,NA,NA,-3.22050216674296
3003,"age group:  15 -  19",3,0,NA,NA,-2.84842296486276
5003,"age group:  25 -  29",3,0,NA,NA,-2.54491361274723
6003,"age group:  30 -  34",3,0,NA,NA,-2.16276784098186
7003,"age group:  35 -  39",3,0,NA,NA,-1.82714828945956
8003,"age group:  40 -  44",3,0,NA,NA,-1.4214406633005
18003,"age group:  90 -  94",3,0,NA,NA,1.36462551547941
9003,"age group:  45 -  49",3,0,NA,NA,-1.25150931170446
37311061210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: COVID-19",210,37311061,NA,NA,-0.923221573549534
10003,"age group:  50 -  54",3,0,NA,NA,-0.860474126001117
11003,"age group:  55 -  59",3,0,NA,NA,-0.736829288045607
4100065210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Disease due to Coronaviridae",210,4100065,NA,NA,-0.583642858557498
16003,"age group:  80 -  84",3,0,NA,NA,0.576784065728418
12003,"age group:  60 -  64",3,0,NA,NA,-0.449684875585092
17003,"age group:  85 -  89",3,0,NA,NA,0.434839350481986
8507001,"gender = MALE",1,8507,NA,NA,0.384256722955114
15003,"age group:  75 -  79",3,0,NA,NA,0.347016329686838
1734104412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: azithromycin",412,1734104,NA,NA,0.329189945497176
21603892410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Selective immunosuppressants",410,21603892,NA,NA,0.323628767648683
321882210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Generalized atherosclerosis",210,321882,NA,NA,-0.29745537865532
21601329412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: VIRAL VACCINES",412,21601329,NA,NA,-0.286435731599843
21600490412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: ANTIEMETICS AND ANTINAUSEANTS",412,21600490,NA,NA,0.277761459336599
21602791410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Other anti-parathyroid agents",410,21602791,NA,NA,0.275349474930023
1551099412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: prednisone",412,1551099,NA,NA,0.259400310525741
734354410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: pregabalin",410,734354,NA,NA,0.251983159041434
320128210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Essential hypertension",210,320128,NA,NA,0.246353745864184
133141210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Tinea pedis",210,133141,NA,NA,0.239568058932005
26823210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Oral phase dysphagia",210,26823,NA,NA,-0.231778440722193
1799139410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: oseltamivir",410,1799139,NA,NA,-0.219839633410108
201820210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Diabetes mellitus",210,201820,NA,NA,0.215152123183317
435515212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Hypo-osmolality and or hyponatremia",212,435515,NA,NA,-0.214296173999878
4213540210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Cervical somatic dysfunction",210,4213540,NA,NA,-0.207152024012507
21600565412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: Osmotically acting laxatives",412,21600565,NA,NA,-0.206728968750432
21600002412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: STOMATOLOGICAL PREPARATIONS",412,21600002,NA,NA,-0.204584239639965
201620212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Kidney stone",212,201620,NA,NA,-0.204486573045446
21602645410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Drugs used in erectile dysfunction",410,21602645,NA,NA,-0.20050928140825
21600749412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: Sulfonylureas",412,21600749,NA,NA,0.1986899489529
440029212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Viral disease",212,440029,NA,NA,0.198563241367208
961047412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: ranitidine",412,961047,NA,NA,0.197586366676458
923081410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: ofloxacin",410,923081,NA,NA,-0.190629070521409
19003999410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: mycophenolate mofetil",410,19003999,NA,NA,0.188850872333144
13003,"age group:  65 -  69",3,0,NA,NA,-0.188428790807097
4103992210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Mass of stomach",210,4103992,NA,NA,-0.185707992760714
79908210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Muscle weakness",210,79908,NA,NA,-0.184028214762283
21604490410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: ANTIPSYCHOTICS",410,21604490,NA,NA,0.183315571819755
4286497210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Centriacinar emphysema",210,4286497,NA,NA,0.181990195233053
439696210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Hypertensive heart and renal disease with (congestive) heart failure",210,439696,NA,NA,-0.181597667473293
21605318410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Tests for gastric secretion",410,21605318,NA,NA,-0.179827220240743
4290837210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Melanocytic neoplasm",210,4290837,NA,NA,-0.179505731993553
45768452210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Palmoplantar keratoderma",210,45768452,NA,NA,0.179494596382217
21604499410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Phenothiazines with piperazine structure",410,21604499,NA,NA,-0.177682412569422
436954210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Drug abuse",210,436954,NA,NA,0.177438202535002
4219836210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Contusion of ocular adnexa and periocular tissues",210,4219836,NA,NA,0.176502262141322
21605263410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Drugs for treatment of hyperkalemia and hyperphosphatemia",410,21605263,NA,NA,0.1755251256525
21604463412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: Dopa and dopa derivatives",412,21604463,NA,NA,-0.175501800718978
35602717410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: insulin degludec",410,35602717,NA,NA,0.172669883989568
439935210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Abnormal posture",210,439935,NA,NA,-0.171653626638294
21603814410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Estrogens",410,21603814,NA,NA,-0.171471860819945
21604753410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Centrally acting sympathomimetics",410,21604753,NA,NA,-0.171375262026776
4130022210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Mass of thyroid gland",210,4130022,NA,NA,-0.170638697783751
192359210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Renal failure syndrome",210,192359,NA,NA,0.169073429814445
4030035210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Macular retinal cyst",210,4030035,NA,NA,0.166565239399039
443729210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Peripheral circulatory disorder due to type 2 diabetes mellitus",210,443729,NA,NA,-0.162592438144288
1567198410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: insulin aspart, human",410,1567198,NA,NA,-0.15765429036977
201965210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Shock",210,201965,NA,NA,-0.157526880727565
4134455210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Mononeuropathy",210,4134455,NA,NA,-0.155670089938529
443614210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Chronic kidney disease stage 1",210,443614,NA,NA,-0.15526060999246
4301383210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Frontal sinusitis",210,4301383,NA,NA,-0.154380195849016
194913210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Idiopathic peripheral autonomic neuropathy",210,194913,NA,NA,-0.153594697440774
980311410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: collagenase",410,980311,NA,NA,-0.153271778956584
4337941210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Congenital anomaly of head",210,4337941,NA,NA,0.153248177335386
252662212,"condition_era group (ConditionGroupEraShortTerm) during day -30 through -1 days relative to index: Tracheobronchial disorder",212,252662,NA,NA,0.152752505123501
440704210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Chronic pain syndrome",210,440704,NA,NA,0.151674055104271
21603926410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Other immunosuppressants",410,21603926,NA,NA,0.151450768111607
21601698410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Alpha and beta blocking agents",410,21601698,NA,NA,0.151028865853501
261325210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Pulmonary emphysema",210,261325,NA,NA,0.150905973071465
434005210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through -1 days relative to index: Morbid obesity",210,434005,NA,NA,0.150246305240144
21603444412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: ANTIHISTAMINES FOR SYSTEMIC USE",412,21603444,NA,NA,0.147464431903821
1742253412,"drug_era group (DrugGroupEraShortTerm) during day -30 through -1 days relative to index: levofloxacin",412,1742253,NA,NA,0.146597045120556
1112921410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: ipratropium",410,1112921,NA,NA,-0.146376061756238
21600269410,"drug_era group (DrugGroupEraLongTerm) during day -365 through -1 days relative to index: Antiarrhythmics, class III",410,21600269,NA,NA,0.145244530802367
