"covariateId","covariateName","analysisId","conceptId","valueAsConceptId","collisions","covariateValue"
4003,"age group:  20 -  24",3,0,NA,NA,-3.21212328737978
3003,"age group:  15 -  19",3,0,NA,NA,-3.14962617119695
5003,"age group:  25 -  29",3,0,NA,NA,-2.61382148035458
6003,"age group:  30 -  34",3,0,NA,NA,-2.1008713323958
7003,"age group:  35 -  39",3,0,NA,NA,-1.83376133557729
8003,"age group:  40 -  44",3,0,NA,NA,-1.47399940512052
9003,"age group:  45 -  49",3,0,NA,NA,-1.19496575894123
10003,"age group:  50 -  54",3,0,NA,NA,-0.928845829260065
18003,"age group:  90 -  94",3,0,NA,NA,0.833253299631655
11003,"age group:  55 -  59",3,0,NA,NA,-0.756795153732898
1701699,"Cohort_covariate during day -9999 through -1 days relative to index: history of diabetes ",699,-1,NA,NA,0.455337255046752
12003,"age group:  60 -  64",3,0,NA,NA,-0.435012007595481
2001699,"Cohort_covariate during day -9999 through -1 days relative to index: history of hypertension ",699,-1,NA,NA,0.423335560706471
8507001,"gender = MALE",1,8507,NA,NA,0.408984627992188
16003,"age group:  80 -  84",3,0,NA,NA,0.352941351176868
1601699,"Cohort_covariate during day -9999 through -1 days relative to index: history of COPD ",699,-1,NA,NA,0.34623800390127
2101699,"Cohort_covariate during day -9999 through -1 days relative to index: history of kidney disease ",699,-1,NA,NA,0.331274951432065
15003,"age group:  75 -  79",3,0,NA,NA,0.219403408245834
17003,"age group:  85 -  89",3,0,NA,NA,0.205131793550345
13003,"age group:  65 -  69",3,0,NA,NA,-0.133124036269408
1801699,"Cohort_covariate during day -9999 through -1 days relative to index: history of heart disease ",699,-1,NA,NA,0.0779673513375707
1501699,"Cohort_covariate during day -9999 through -1 days relative to index: history of cancer ",699,-1,NA,NA,0.0397526174321856
1901699,"Cohort_covariate during day -9999 through -1 days relative to index: history of hyperlipidemia ",699,-1,NA,NA,0.0289310333693626
