"covariateId","covariateName","analysisId","conceptId","valueAsConceptId","collisions","covariateValue"
3003,"age group:  15 -  19",3,0,NA,NA,-3.56937998565734
4003,"age group:  20 -  24",3,0,NA,NA,-3.25296324442072
5003,"age group:  25 -  29",3,0,NA,NA,-2.59121052159723
6003,"age group:  30 -  34",3,0,NA,NA,-2.12393039098601
7003,"age group:  35 -  39",3,0,NA,NA,-1.83937080693002
8003,"age group:  40 -  44",3,0,NA,NA,-1.49088524390295
9003,"age group:  45 -  49",3,0,NA,NA,-1.27688621541618
10003,"age group:  50 -  54",3,0,NA,NA,-0.91440021724484
18003,"age group:  90 -  94",3,0,NA,NA,0.898309234988861
11003,"age group:  55 -  59",3,0,NA,NA,-0.745284045131068
12003,"age group:  60 -  64",3,0,NA,NA,-0.454023420842122
1701699,"Cohort_covariate during day -9999 through -1 days relative to index: history of diabetes ",699,-1,NA,NA,0.449751950650511
8507001,"gender = MALE",1,8507,NA,NA,0.413587773641698
2001699,"Cohort_covariate during day -9999 through -1 days relative to index: history of hypertension ",699,-1,NA,NA,0.384978151499811
1601699,"Cohort_covariate during day -9999 through -1 days relative to index: history of COPD ",699,-1,NA,NA,0.350217485601107
2101699,"Cohort_covariate during day -9999 through -1 days relative to index: history of kidney disease ",699,-1,NA,NA,0.322997832916497
16003,"age group:  80 -  84",3,0,NA,NA,0.317468033753671
15003,"age group:  75 -  79",3,0,NA,NA,0.237134634941686
17003,"age group:  85 -  89",3,0,NA,NA,0.218087245087573
13003,"age group:  65 -  69",3,0,NA,NA,-0.134682748232811
1801699,"Cohort_covariate during day -9999 through -1 days relative to index: history of heart disease ",699,-1,NA,NA,0.0657291450664854
1901699,"Cohort_covariate during day -9999 through -1 days relative to index: history of hyperlipidemia ",699,-1,NA,NA,0.05312153678824
1501699,"Cohort_covariate during day -9999 through -1 days relative to index: history of cancer ",699,-1,NA,NA,0.0231349466961058
