"","performance_id","analysisId","modelOrigin","recalibrationPeriod","featureSet","devPeriod","startDate","endDate","periodMidpoint","devStartDate","devEndDate","wDev","wRecal","targetId","outcomeId","targetName","outcomeName","fullName","legendLabel","AUROC","populationSize","outcomeCount","Eavg","meanPrediction","observedRisk","observedMeanDiff"
"1",9,"dev","New Covid",NA,"Full","First 6 Months",2020-01-01,2020-06-30,2020-03-31,2020-01-01,2020-06-30,"6m",NA,31,11,"CovidNew","Fatality","CovidNew-Fatality | Full | New Covid | First 6 Months","dataDrivenCovidF",0.883013969021681,15438,580,0.00551034640062758,0.037576454322978,0.0375696333721985,-6.8209507795014e-06
"2",16,"dev","New Covid",NA,"Full","First 9 Months",2020-01-01,2020-09-30,2020-05-16,2020-01-01,2020-09-30,"9m",NA,31,11,"CovidNew","Fatality","CovidNew-Fatality | Full | New Covid | First 9 Months","dataDrivenCovidF",0.890891711216176,42657,1050,0.00475553137291551,0.0249739759176174,0.0246149518250229,-0.000359024092594501
"3",23,"dev","New Covid",NA,"Full","Full Year 2020 (Full Pop.)",2020-01-01,2020-12-31,2020-07-01,2020-01-01,2020-12-31,"12m_full",NA,31,11,"CovidNew","Fatality","CovidNew-Fatality | Full | New Covid | Full Year 2020 (Full Pop.)","dataDrivenCovidF",0.906765561155705,111665,2090,0.00268543255661885,0.0187656872925841,0.0187166972641383,-4.89900284458e-05
"4",25,"dev","New Covid",NA,"Full","Full Year 2020 (Sampled)",2020-01-01,2020-12-31,2020-07-01,2020-01-01,2020-12-31,"12m_150k",NA,31,11,"CovidNew","Fatality","CovidNew-Fatality | Full | New Covid | Full Year 2020 (Sampled)","dataDrivenCovidF",0.900115343262321,37498,732,0.00365036319056636,0.0190770282038053,0.0195210411221932,0.000444012918387901
"5",6,"dev","New Covid",NA,"Parsimonious","First 6 Months",2020-01-01,2020-06-30,2020-03-31,2020-01-01,2020-06-30,"6m",NA,31,11,"CovidNew","Fatality","CovidNew-Fatality | Parsimonious | New Covid | First 6 Months","covidF",0.865948682005746,15438,580,0.00131154191371933,0.0373666712486047,0.0375696333721985,0.000202962123593796
"6",13,"dev","New Covid",NA,"Parsimonious","First 9 Months",2020-01-01,2020-09-30,2020-05-16,2020-01-01,2020-09-30,"9m",NA,31,11,"CovidNew","Fatality","CovidNew-Fatality | Parsimonious | New Covid | First 9 Months","covidF",0.873538713151519,42657,1050,0.00166787808556914,0.0248765695742082,0.0246149518250229,-0.000261617749185299
"7",19,"dev","New Covid",NA,"Parsimonious","Full Year 2020 (Full Pop.)",2020-01-01,2020-12-31,2020-07-01,2020-01-01,2020-12-31,"12m_full",NA,31,11,"CovidNew","Fatality","CovidNew-Fatality | Parsimonious | New Covid | Full Year 2020 (Full Pop.)","covidF",0.886636061250132,111665,2090,0.00118169621448569,0.0186328245583721,0.0187166972641383,8.38727057661977e-05
"8",22,"dev","New Covid",NA,"Parsimonious","Full Year 2020 (Sampled)",2020-01-01,2020-12-31,2020-07-01,2020-01-01,2020-12-31,"12m_150k",NA,31,11,"CovidNew","Fatality","CovidNew-Fatality | Parsimonious | New Covid | Full Year 2020 (Sampled)","covidF",0.884285036008263,37498,732,0.00136403622257737,0.0191921375433885,0.0195210411221932,0.000328903578804701
"9",2,"dev","New Covid",NA,"Full","First 3 Months",2020-01-01,2020-03-31,2020-02-15,2020-01-01,2020-03-31,"3m",NA,31,14,"CovidNew","Hospitalization","CovidNew-Hospitalization | Full | New Covid | First 3 Months","dataDrivenCovidH",0.752622535720745,536,194,0.031335749473403,0.357776070571155,0.361940298507463,0.004164227936308
"10",7,"dev","New Covid",NA,"Full","First 6 Months",2020-01-01,2020-06-30,2020-03-31,2020-01-01,2020-06-30,"6m",NA,31,14,"CovidNew","Hospitalization","CovidNew-Hospitalization | Full | New Covid | First 6 Months","dataDrivenCovidH",0.800525195765196,15411,2014,0.00688676613793451,0.130598335651466,0.130685873726559,8.75380750929855e-05
"11",14,"dev","New Covid",NA,"Full","First 9 Months",2020-01-01,2020-09-30,2020-05-16,2020-01-01,2020-09-30,"9m",NA,31,14,"CovidNew","Hospitalization","CovidNew-Hospitalization | Full | New Covid | First 9 Months","dataDrivenCovidH",0.816094621404539,42554,4665,0.00627208332496993,0.109194939901191,0.109625417117075,0.000430477215884004
"12",20,"dev","New Covid",NA,"Full","Full Year 2020 (Full Pop.)",2020-01-01,2020-12-31,2020-07-01,2020-01-01,2020-12-31,"12m_full",NA,31,14,"CovidNew","Hospitalization","CovidNew-Hospitalization | Full | New Covid | Full Year 2020 (Full Pop.)","dataDrivenCovidH",0.827879261247307,111389,11404,0.00650111179549334,0.102083280707759,0.102379947750676,0.000296667042917004
"13",24,"dev","New Covid",NA,"Full","Full Year 2020 (Sampled)",2020-01-01,2020-12-31,2020-07-01,2020-01-01,2020-12-31,"12m_150k",NA,31,14,"CovidNew","Hospitalization","CovidNew-Hospitalization | Full | New Covid | Full Year 2020 (Sampled)","dataDrivenCovidH",0.830341371114468,37403,3902,0.00754410496519076,0.10527942581814,0.104323182632409,-0.000956243185730996
"14",26,"dev","New Covid",NA,"Parsimonious","First 3 Months",2020-01-01,2020-03-31,2020-02-15,2020-01-01,2020-03-31,"3m",NA,31,14,"CovidNew","Hospitalization","CovidNew-Hospitalization | Parsimonious | New Covid | First 3 Months","covidH",0.748387291252186,536,194,0.0200982314525557,0.358022779051002,0.361940298507463,0.00391751945646102
"15",4,"dev","New Covid",NA,"Parsimonious","First 6 Months",2020-01-01,2020-06-30,2020-03-31,2020-01-01,2020-06-30,"6m",NA,31,14,"CovidNew","Hospitalization","CovidNew-Hospitalization | Parsimonious | New Covid | First 6 Months","covidH",0.756590223589016,15411,2014,0.00360296472252317,0.131151852547834,0.130685873726559,-0.000465978821275026
"16",10,"dev","New Covid",NA,"Parsimonious","First 9 Months",2020-01-01,2020-09-30,2020-05-16,2020-01-01,2020-09-30,"9m",NA,31,14,"CovidNew","Hospitalization","CovidNew-Hospitalization | Parsimonious | New Covid | First 9 Months","covidH",0.782729690159134,42554,4665,0.00537241722830695,0.108971377391605,0.109625417117075,0.000654039725469999
"17",17,"dev","New Covid",NA,"Parsimonious","Full Year 2020 (Full Pop.)",2020-01-01,2020-12-31,2020-07-01,2020-01-01,2020-12-31,"12m_full",NA,31,14,"CovidNew","Hospitalization","CovidNew-Hospitalization | Parsimonious | New Covid | Full Year 2020 (Full Pop.)","covidH",0.801836939869286,111389,11404,0.00400019664002596,0.102561680827509,0.102379947750676,-0.000181733076832988
"18",1,"dev","New Covid",NA,"Parsimonious","Full Year 2020 (Sampled)",2020-01-01,2020-12-31,2020-07-01,2020-01-01,2020-12-31,"12m_150k",NA,31,14,"CovidNew","Hospitalization","CovidNew-Hospitalization | Parsimonious | New Covid | Full Year 2020 (Sampled)","covidH",0.803417865032786,37403,3902,0.00579683756948917,0.105601866581448,0.104323182632409,-0.001278683949039
"19",3,"dev","New Covid",NA,"Full","First 3 Months",2020-01-01,2020-03-31,2020-02-15,2020-01-01,2020-03-31,"3m",NA,31,13,"CovidNew","RespiratoryFailure","CovidNew-RespiratoryFailure | Full | New Covid | First 3 Months","dataDrivenCovidI",0.730382542627441,508,165,0.0358075249823668,0.324662223341193,0.324803149606299,0.000140926265106034
"20",8,"dev","New Covid",NA,"Full","First 6 Months",2020-01-01,2020-06-30,2020-03-31,2020-01-01,2020-06-30,"6m",NA,31,13,"CovidNew","RespiratoryFailure","CovidNew-RespiratoryFailure | Full | New Covid | First 6 Months","dataDrivenCovidI",0.794511483829053,14568,1573,0.0125236095139571,0.107008536198711,0.107976386600769,0.000967850402058004
"21",15,"dev","New Covid",NA,"Full","First 9 Months",2020-01-01,2020-09-30,2020-05-16,2020-01-01,2020-09-30,"9m",NA,31,13,"CovidNew","RespiratoryFailure","CovidNew-RespiratoryFailure | Full | New Covid | First 9 Months","dataDrivenCovidI",0.815088791919139,40569,3667,0.00583630095471136,0.0909840506518864,0.0903892134388326,-0.000594837213053798
"22",21,"dev","New Covid",NA,"Full","Full Year 2020 (Full Pop.)",2020-01-01,2020-12-31,2020-07-01,2020-01-01,2020-12-31,"12m_full",NA,31,13,"CovidNew","RespiratoryFailure","CovidNew-RespiratoryFailure | Full | New Covid | Full Year 2020 (Full Pop.)","dataDrivenCovidI",0.826679071442936,106594,8927,0.00547280184148449,0.0831106195337567,0.0837476781057095,0.0006370585719528
"23",28,"dev","New Covid",NA,"Full","Full Year 2020 (Sampled)",2020-01-01,2020-12-31,2020-07-01,2020-01-01,2020-12-31,"12m_150k",NA,31,13,"CovidNew","RespiratoryFailure","CovidNew-RespiratoryFailure | Full | New Covid | Full Year 2020 (Sampled)","dataDrivenCovidI",0.817417115350023,35778,3033,0.00715260444512704,0.084536825198129,0.0847727653865504,0.000235940188421407
"24",27,"dev","New Covid",NA,"Parsimonious","First 3 Months",2020-01-01,2020-03-31,2020-02-15,2020-01-01,2020-03-31,"3m",NA,31,13,"CovidNew","RespiratoryFailure","CovidNew-RespiratoryFailure | Parsimonious | New Covid | First 3 Months","covidI",0.760570721795212,508,165,0.0196500941495704,0.335858668502572,0.324803149606299,-0.011055518896273
"25",5,"dev","New Covid",NA,"Parsimonious","First 6 Months",2020-01-01,2020-06-30,2020-03-31,2020-01-01,2020-06-30,"6m",NA,31,13,"CovidNew","RespiratoryFailure","CovidNew-RespiratoryFailure | Parsimonious | New Covid | First 6 Months","covidI",0.763294234884707,14568,1573,0.00736300481700798,0.107604220001689,0.107976386600769,0.000372166599080001
"26",12,"dev","New Covid",NA,"Parsimonious","First 9 Months",2020-01-01,2020-09-30,2020-05-16,2020-01-01,2020-09-30,"9m",NA,31,13,"CovidNew","RespiratoryFailure","CovidNew-RespiratoryFailure | Parsimonious | New Covid | First 9 Months","covidI",0.784967955943481,40569,3667,0.00406017226874689,0.0906988690908136,0.0903892134388326,-0.000309655651980989
"27",18,"dev","New Covid",NA,"Parsimonious","Full Year 2020 (Full Pop.)",2020-01-01,2020-12-31,2020-07-01,2020-01-01,2020-12-31,"12m_full",NA,31,13,"CovidNew","RespiratoryFailure","CovidNew-RespiratoryFailure | Parsimonious | New Covid | Full Year 2020 (Full Pop.)","covidI",0.800093330417573,106594,8927,0.00372543856036711,0.083151942360446,0.0837476781057095,0.000595735745263504
